date,gm,adbe,ora,flo,mkt_rf,smb,hml,rf
10/1/2012,0.120878935,0.049013565,0.014933953,-0.024281281,-0.0176,-0.0116,0.0359,1.00E-04
11/1/2012,0.014902085,0.017043844,-0.03205494,0.195530657,0.0078,0.0064,-0.0084,1.00E-04
12/1/2012,0.113987695,0.088702656,0.046688529,-0.004529659,0.0118,0.015,0.0351,1.00E-04
1/1/2013,-0.025667547,0.003980945,0.102696603,0.155135493,0.0557,0.0033,0.0096,0
2/1/2013,-0.033464221,0.039122361,-0.038570038,0.048363247,0.0129,-0.0028,0.0011,0
3/1/2013,0.024677901,0.107097403,0.010274109,0.17566815,0.0403,0.0081,-0.0019,0
4/1/2013,0.108555127,0.035845634,0.052784427,0,0.0155,-0.0236,0.0045,0
5/1/2013,0.098897222,-0.048136688,0.049677886,0.013053959,0.028,0.0173,0.0263,0
6/1/2013,-0.017113842,0.061757189,0.030675083,-0.008840278,-0.012,0.0133,3.00E-04,0
7/1/2013,0.076853435,0.03775237,-0.02083353,0.046570272,0.0565,0.0186,0.0057,0
8/1/2013,-0.04990231,-0.032360386,0.088580393,-0.094512458,-0.0271,0.0028,-0.0269,0
9/1/2013,0.055457873,0.135300525,0.069551771,0.036844458,0.0377,0.0291,-0.0122,0
10/1/2013,0.027244725,0.043896843,-0.026148676,0.181902819,0.0418,-0.0156,0.0125,0
11/1/2013,0.048173385,0.047215012,-0.03797444,-0.142462259,0.0313,0.0129,0.0032,0
12/1/2013,0.055254355,0.054596725,0.086599218,-0.011965423,0.0281,-0.0045,-2.00E-04,0
1/1/2014,-0.117200967,-0.011523079,-0.094083287,-0.019123365,-0.0332,0.009,-0.0207,0
2/1/2014,0.003325979,0.159486369,0.125760811,-0.018138625,0.0465,0.0037,-0.0031,0
3/1/2014,-0.04917116,-0.042109852,0.081441538,0.048532403,0.0043,-0.0185,0.0493,0
4/1/2014,0.010636865,-0.061606315,-0.109096017,-0.043356689,-0.0019,-0.042,0.0117,0
5/1/2014,0.002900196,0.046198769,0.116191888,0.016081762,0.0206,-0.0188,-0.0013,0
6/1/2014,0.049739666,0.121165167,-0.030184285,0.011031095,0.0261,0.0308,-0.007,0
7/1/2014,-0.060549089,-0.04297956,-0.105445628,-0.089159602,-0.0204,-0.0429,3.00E-04,0
8/1/2014,0.028977061,0.038267177,0.067468108,0.025667421,0.0424,0.004,-0.0045,0
9/1/2014,-0.08218402,-0.037691237,-0.043965764,-0.056538144,-0.0197,-0.0372,-0.0134,0
10/1/2014,-0.008303111,0.013441263,0.102017531,0.0348586,0.0252,0.042,-0.0181,0
11/1/2014,0.064649691,0.050770063,-0.054231524,0.026315904,0.0255,-0.0206,-0.0309,0
12/1/2014,0.044271446,-0.013300801,-0.005487673,-0.015897606,-6.00E-04,0.0249,0.0227,0
1/1/2015,-0.057261704,-0.035350758,-0.01582056,0.026416973,-0.0311,-0.0055,-0.0358,0
2/1/2015,0.143776904,0.127905338,0.27476636,0.106339228,0.0613,0.0061,-0.0186,0
3/1/2015,0.005092415,-0.065233832,0.114955988,0.050832032,-0.0112,0.0304,-0.0037,0
4/1/2015,-0.05739065,0.028671841,-0.035400544,-0.011543115,0.0059,-0.0303,0.0182,0
5/1/2015,0.025955425,0.039836946,0.013937919,0.005371682,0.0136,0.0092,-0.0114,0
6/1/2015,-0.073394486,0.024276218,0.017241336,-0.058325751,-0.0153,0.029,-0.0079,0
7/1/2015,-0.044814288,0.012097222,0.079618129,0.031012089,0.0154,-0.0419,-0.0413,0
8/1/2015,-0.065693586,-0.041712381,-0.134710007,0.071560599,-0.0604,0.0033,0.0277,0
9/1/2015,0.019701058,0.046455403,-0.031702609,0.072700004,-0.0307,-0.0263,0.0056,0
10/1/2015,0.17719924,0.078326477,0.10843363,0.091349981,0.0775,-0.0187,-0.0046,0
11/1/2015,0.036951937,0.031581264,-0.025715773,-0.128888517,0.0056,0.0359,-0.0042,0
12/1/2015,-0.060496891,0.027115712,-0.005923045,-0.086309924,-0.0217,-0.0282,-0.0261,1.00E-04
1/1/2016,-0.11931258,-0.051202948,-0.029339522,-0.03823654,-0.0577,-0.0343,0.0209,1.00E-04
2/1/2016,-0.006747666,-0.044653822,0.077966426,-0.166017584,-7.00E-04,0.0071,-0.0057,2.00E-04
3/1/2016,0.067595005,0.101585447,0.080713032,0.077641251,0.0696,0.0082,0.0119,2.00E-04
4/1/2016,0.024461012,0.00447759,0.060495535,0.04683873,0.0091,0.0074,0.0328,1.00E-04
5/1/2016,-0.016351994,0.055720653,0.004838544,-0.021398732,0.0178,-0.0018,-0.0166,1.00E-04
6/1/2016,-0.095268676,-0.036996079,0.005090188,0,-5.00E-04,0.006,-0.0148,2.00E-04
7/1/2016,0.128675515,0.021609771,0.04296137,-0.010754022,0.0395,0.0251,-0.0127,2.00E-04
8/1/2016,0.012048068,0.045473094,0.060473563,-0.189233348,0.0049,0.0118,0.0313,2.00E-04
9/1/2016,-0.004699215,0.060893394,0.001674398,0.024959251,0.0025,0.0213,-0.0123,2.00E-04
10/1/2016,0.006557431,-0.00948958,-0.003718423,0.026455356,-0.0202,-0.0442,0.0412,2.00E-04
11/1/2016,0.092721359,-0.0437169,-0.008293329,0,0.0486,0.0567,0.0819,1.00E-04
12/1/2016,0.008977826,0.001361726,0.122755923,0.300077973,0.0181,8.00E-04,0.0356,3.00E-04
1/1/2017,0.06220261,0.101311319,0.00149185,0.007010454,0.0194,-0.0114,-0.0276,4.00E-04
2/1/2017,0.00628251,0.043746685,0.026629435,-0.042267579,0.0357,-0.0202,-0.0168,4.00E-04
3/1/2017,-0.040173822,0.099628269,0.035371017,0.007788216,0.0017,0.0114,-0.0332,3.00E-04
4/1/2017,-0.010338603,0.027741488,0.03776334,0.018767388,0.0109,0.0072,-0.021,5.00E-04
5/1/2017,-0.020496645,0.060714788,0.0077886,-0.057623884,0.0106,-0.0252,-0.0378,6.00E-04
6/1/2017,0.029472257,-0.002960658,-0.012712443,-0.06331178,0.0078,0.0223,0.0148,6.00E-04
7/1/2017,0.041555667,0.035704206,0.01056587,0.025589953,0.0187,-0.0146,-0.0024,7.00E-04
8/1/2017,0.015564196,0.059184918,-0.031365917,-0.012507048,0.0016,-0.0167,-0.0209,9.00E-04
9/1/2017,0.105090276,-0.038540931,0.064350735,0.093512087,0.0251,0.0446,0.0312,9.00E-04
